gene_id	go_id
Potri.001G058600	GO:0003677
Potri.001G058600	GO:0005634
Potri.001G058800	GO:0003700
Potri.001G058800	GO:0006355
Potri.001G058800	GO:0043565
Potri.001G058900	GO:0005524
Potri.001G058900	GO:0016887
Potri.001G059900	GO:0004345
Potri.001G059900	GO:0006006
Potri.001G059900	GO:0050661
Potri.001G059900	GO:0055114
Potri.001G060100	GO:0008152
Potri.001G060100	GO:0016597
Potri.001G060200	GO:0000413
Potri.001G060200	GO:0003755
Potri.001G060200	GO:0006457
Potri.001G060300	GO:0016787
Potri.001G060400	GO:0009733
Potri.001G060600	GO:0009055
Potri.001G060600	GO:0015035
Potri.001G060600	GO:0045454
Potri.001G060700	GO:0000145
Potri.001G060700	GO:0006887
Potri.001G060800	GO:0004672
Potri.001G060800	GO:0005524
Potri.001G060800	GO:0006468
Potri.001G061100	GO:0006629
Potri.001G061100	GO:0008081
Potri.001G061200	GO:0003677
Potri.001G061200	GO:0006355
Potri.001G061400	GO:0003824
Potri.001G061400	GO:0004739
Potri.001G061400	GO:0006086
Potri.001G061400	GO:0008152
Potri.001G061600	GO:0005515
Potri.001G061800	GO:0005515
Potri.001G061800	GO:0005622
Potri.001G061800	GO:0008270
Potri.001G062800	GO:0005515
Potri.001G062900	GO:0046983
Potri.001G063000	GO:0003677
Potri.001G063000	GO:0046983
Potri.001G063100	GO:0003743
Potri.001G063100	GO:0005737
Potri.001G063100	GO:0005852
Potri.001G063300	GO:0005515
Potri.001G063700	GO:0005515
Potri.001G063900	GO:0005515
Potri.001G064100	GO:0005515
Potri.001G064200	GO:0000166
Potri.001G064200	GO:0046872
Potri.001G064400	GO:0005515
Potri.001G064500	GO:0005515
Potri.001G064600	GO:0005515
Potri.001G064700	GO:0000166
Potri.001G064700	GO:0046872
Potri.001G064900	GO:0005515
Potri.001G065300	GO:0005515
Potri.001G065400	GO:0005515
Potri.001G065900	GO:0004185
Potri.001G065900	GO:0006508
Potri.001G066200	GO:0003677
Potri.001G066200	GO:0005634
Potri.001G066200	GO:0006355
Potri.001G066200	GO:0009725
Potri.001G066500	GO:0005515
Potri.001G066500	GO:0007165
Potri.001G066500	GO:0043531
Potri.001G066600	GO:0005515
Potri.001G066600	GO:0007165
Potri.001G066700	GO:0004672
Potri.001G066700	GO:0006468
Potri.001G066800	GO:0005096
Potri.001G066800	GO:0005515
Potri.001G066800	GO:0005737
Potri.001G067300	GO:0003676
Potri.001G067600	GO:0003700
Potri.001G067600	GO:0006355
Potri.001G067700	GO:0042393
